,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
2278,Jonathan Rowe,eng ENG,MFFW,Bologna,it Serie A,22,2003,17.8,3,48,17,35.4,2.69,0.95,0.06,0.18,0,0,,
2279,Jonathan Rowe,eng ENG,FW,Marseille,fr Ligue 1,22,2003,0.7,0,5,0,0,7.26,0,0,,0,0,,
2280,James Rowswell,eng ENG,DF,Tottenham,eng Premier League,19,2006,0,0,0,0,,0,0,,,0,0,,
2281,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,31,1994,19.9,2,15,4,26.7,0.75,0.2,0.13,0.5,0,0,,
2282,Rubén,es ESP,DFMF,Espanyol,es La Liga,24,2001,9,0,8,1,12.5,0.89,0.11,0,0,0,0,,
2283,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,32,1993,16.6,1,13,1,7.7,0.79,0.06,0.08,1,0,0,,
2284,Javi Rueda,es ESP,MF,Celta Vigo,es La Liga,23,2002,15.6,2,11,3,27.3,0.71,0.19,0.18,0.67,0,0,,
2285,Daniele Rugani,it ITA,DF,Fiorentina,it Serie A,31,1994,3.6,0,1,0,0,0.28,0,0,,0,0,,
2286,Daniele Rugani,it ITA,DF,Juventus,it Serie A,31,1994,2.8,0,0,0,,0,0,,,0,0,,
2287,Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23,2002,19.7,0,5,2,40,0.25,0.1,0,0,0,0,,
2288,Aitor Ruibal,es ESP,DFMF,Real Betis,es La Liga,29,1996,20.1,4,31,12,38.7,1.54,0.6,0.13,0.33,0,0,,
2289,Abel Ruiz,es ESP,FW,Girona,es La Liga,25,2000,2.1,0,5,1,20,2.41,0.48,0,0,0,0,,
2290,Fabián Ruiz Peña,es ESP,MF,PSG,fr Ligue 1,29,1996,12.6,1,19,4,21.1,1.51,0.32,0.05,0.25,0,0,,
2291,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33,1992,29,0,1,0,0,0.03,0,0,,0,0,,
2292,Iñaki Rupérez,es ESP,DF,Real Sociedad,es La Liga,22,2003,0,0,0,0,,0,0,,,0,0,,
2293,Jacen Russell-Rowe,ca CAN,FW,Toulouse,fr Ligue 1,22,2002,5.2,1,11,4,36.4,2.1,0.76,0.09,0.25,0,0,,
2294,Georginio Rutter,fr FRA,MFFW,Brighton,eng Premier League,23,2002,19.8,3,42,14,33.3,2.12,0.71,0.07,0.21,0,0,,
2295,Mathew Ryan,au AUS,GK,Levante,es La Liga,33,1992,36,0,2,0,0,0.06,0,0,,0,0,,
2296,Julian Ryerson,no NOR,MF,Dortmund,de Bundesliga,27,1997,25.2,0,12,1,8.3,0.48,0.04,0,0,0,0,,
2297,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,32,1992,29.3,0,0,0,,0,0,,,0,0,,
2298,Alexander Røssing-Lelesiit,no NOR,FWMF,Hamburger SV,de Bundesliga,18,2007,3.6,0,2,2,100,0.56,0.56,0,0,0,0,,
2299,José Sá,pt POR,GK,Wolves,eng Premier League,32,1993,23,0,0,0,,0,0,,,0,0,,
2300,Elias Saad,tn TUN,MFFW,Augsburg,de Bundesliga,25,1999,5.5,0,6,3,50,1.09,0.54,0,0,0,0,,
2301,Idrissa Sabaly,fr FRA,MF,Strasbourg,fr Ligue 1,17,2007,0.6,0,1,0,0,1.61,0,0,,0,0,,
2302,Stefano Sabelli,it ITA,MFDF,Genoa,it Serie A,32,1993,10.1,0,8,0,0,0.79,0,0,,0,0,,
2303,Abdelhamid Sabiri,ma MAR,MF,Fiorentina,it Serie A,28,1996,0.3,0,1,0,0,3.33,0,0,,0,0,,
2304,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,31,1994,20.2,1,20,4,20,0.99,0.2,0.05,0.25,0,0,,
2305,Noah Sadiki,cd COD,MF,Sunderland,eng Premier League,20,2004,32.1,0,19,5,26.3,0.59,0.16,0,0,0,0,,
2306,Umar Sadiq,ng NGA,FW,Valencia,es La Liga,28,1997,10.1,4,25,10,40,2.47,0.99,0.16,0.4,0,0,,
2307,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,28,1997,1.7,0,4,0,0,2.35,0,0,,0,0,,
2308,Alexis Saelemaekers,be BEL,MF,Milan,it Serie A,26,1999,31,3,43,11,25.6,1.39,0.36,0.07,0.27,0,0,,
2309,Matvei Safonov,ru RUS,GK,PSG,fr Ligue 1,26,1999,15,0,0,0,,0,0,,,0,0,,
2310,Emir Sahiti,xk KVX,FW,Hamburger SV,de Bundesliga,26,1998,1.3,0,0,0,,0,0,,,0,0,,
2311,Osame Sahraoui,ma MAR,MF,Lille,fr Ligue 1,24,2001,5.6,1,12,4,33.3,2.14,0.71,0.08,0.25,0,0,,
2312,Wesley Saïd,fr FRA,MF,Lens,fr Ligue 1,30,1995,22.1,12,60,27,45,2.71,1.22,0.18,0.41,1,1,,
2313,Allan Saint-Maximin,fr FRA,MF,Lens,fr Ligue 1,28,1997,4.6,3,21,3,14.3,4.61,0.66,0.14,1,0,0,,
2314,Bukayo Saka,eng ENG,FWMF,Arsenal,eng Premier League,23,2001,24.7,7,71,27,38,2.88,1.09,0.08,0.22,1,1,,
2315,Mathis Saka,fr FRA,FW,Toulouse,fr Ligue 1,18,2006,0.1,0,0,0,,0,0,,,0,0,,
2316,Álex Sala,es ESP,MF,Lecce,it Serie A,24,2001,1.9,0,4,2,50,2.16,1.08,0,0,0,0,,
2317,Ibrahim Salah,ma MAR,MF,Rennes,fr Ligue 1,23,2001,0.4,0,1,0,0,2.57,0,0,,0,0,,
2318,Mohamed Salah,eg EGY,MF,Liverpool,eng Premier League,33,1992,23.8,7,68,19,27.9,2.85,0.8,0.09,0.32,1,1,,
2319,Jan Salas,es ESP,MF,Mallorca,es La Liga,19,2005,0.2,0,0,0,,0,0,,,0,0,,
2320,Kike Salas,es ESP,DF,Sevilla,es La Liga,23,2002,24.5,2,19,8,42.1,0.78,0.33,0.11,0.25,0,0,,
2321,Manolis Saliakas,gr GRE,MF,St Pauli,de Bundesliga,28,1996,12.3,1,16,3,18.8,1.3,0.24,0.06,0.33,0,0,,
2322,William Saliba,fr FRA,DF,Arsenal,eng Premier League,24,2001,29,1,5,1,20,0.17,0.03,0.2,1,0,0,,
2323,José Salinas,es ESP,DF,Espanyol,es La Liga,24,2000,2.9,0,1,0,0,0.35,0,0,,0,0,,
2324,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,26,1999,12,1,8,2,25,0.67,0.17,0.13,0.5,0,0,,
2325,Lazar Samardzic,rs SRB,MF,Atalanta,it Serie A,23,2002,11.4,2,25,9,36,2.18,0.79,0.08,0.22,0,0,,
2326,Mbwana Samatta,tz TAN,FW,Le Havre,fr Ligue 1,32,1992,17.1,2,42,16,38.1,2.45,0.93,0.05,0.13,0,0,,
2327,Mama Samba Baldé,gw GNB,FWMF,Brest,fr Ligue 1,29,1995,8,2,31,5,16.1,3.9,0.63,0.06,0.4,0,0,,
2328,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31,1994,32,0,0,0,,0,0,,,0,0,,
2329,Albert Sambi Lokonga,be BEL,MF,Hamburger SV,de Bundesliga,25,1999,19,5,19,11,57.9,1,0.58,0.26,0.45,0,0,,
2330,Antonio Sanabria,py PAR,FW,Cremonese,it Serie A,29,1996,10.5,1,12,4,33.3,1.14,0.38,0.08,0.25,0,0,,
2331,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,25,2000,19.9,4,48,15,31.3,2.42,0.76,0.04,0.13,2,2,,
2332,Álex Sánchez,es ESP,FW,Elche,es La Liga,19,2006,0.1,0,0,0,,0,0,,,0,0,,
2333,Alexis Sánchez,cl CHI,FWMF,Sevilla,es La Liga,36,1988,14.5,4,25,9,36,1.72,0.62,0.12,0.33,1,1,,
2334,Antonio Sánchez,es ESP,MFDF,Mallorca,es La Liga,28,1997,11.9,0,6,3,50,0.5,0.25,0,0,0,0,,
2335,Juanlu Sánchez,es ESP,MFDF,Sevilla,es La Liga,21,2003,22.1,0,14,1,7.1,0.63,0.05,0,0,0,0,,
2336,Borja Sánchez Laborde,es ESP,MF,Oviedo,es La Liga,29,1996,0.2,0,0,0,,0,0,,,0,0,,
2337,Manu Sánchez,es ESP,DF,Levante,es La Liga,24,2000,31.3,1,13,4,30.8,0.42,0.13,0.08,0.25,0,0,,
2338,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27,1997,33.8,0,0,0,,0,0,,,0,0,,
2339,Selton Sánchez,es ESP,MF,Athletic Club,es La Liga,18,2007,2.2,0,4,1,25,1.84,0.46,0,0,0,0,,
2340,Jadon Sancho,eng ENG,MF,Aston Villa,eng Premier League,25,2000,9.7,0,10,3,30,1.03,0.31,0,0,0,0,,
2341,Álex Sancris,es ESP,MFFW,Getafe,es La Liga,28,1997,7.9,0,13,5,38.5,1.65,0.64,0,0,0,0,,
2342,Philipp Sander,de GER,DFMF,Gladbach,de Bundesliga,27,1998,27.2,2,25,8,32,0.92,0.29,0.08,0.25,0,0,,
2343,James Sands,us USA,MF,St Pauli,de Bundesliga,25,2000,21.5,1,16,4,25,0.74,0.19,0.06,0.25,0,0,,
2344,Ibou Sané,sn SEN,FWMF,Metz,fr Ligue 1,20,2005,6,1,6,3,50,1,0.5,0.17,0.33,0,0,,
2345,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,21,2004,21.6,2,6,2,33.3,0.28,0.09,0.33,1,0,0,,
2346,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,23,2002,25.8,1,9,5,55.6,0.35,0.19,0.11,0.2,0,0,,
2347,Buba Sangaré,es ESP,DFMF,Elche,es La Liga,17,2007,6,0,2,0,0,0.33,0,0,,0,0,,
2348,Ibrahim Sangaré,ci CIV,MF,Nottingham,eng Premier League,27,1997,23.1,2,16,5,31.3,0.69,0.22,0.13,0.4,0,0,,
2349,Mamadou Sangare,ml MLI,MF,Lens,fr Ligue 1,23,2002,25.8,3,53,14,26.4,2.05,0.54,0.06,0.21,0,0,,
2350,Nhoa Sangui,fr FRA,DF,Paris FC,fr Ligue 1,19,2006,19.3,0,4,1,25,0.21,0.05,0,0,0,0,,
2351,Maroan Sannadi,ma MAR,FW,Athletic Club,es La Liga,24,2001,3.2,1,8,4,50,2.5,1.25,0.13,0.25,0,0,,
2352,Kaishū Sano,jp JPN,MF,Mainz 05,de Bundesliga,24,2000,34,1,24,6,25,0.71,0.18,0.04,0.17,0,0,,
2353,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,30,1994,19.7,0,19,4,21.1,0.97,0.2,0,0,0,0,,
2354,Baptiste Santamaria,fr FRA,MF,Valencia,es La Liga,30,1995,8.4,1,6,2,33.3,0.72,0.24,0.17,0.5,0,0,,
2355,Yago Santiago,es ESP,MF,Elche,es La Liga,22,2003,3.1,0,2,0,0,0.64,0,0,,0,0,,
2356,Yellu Santiago,es ESP,MF,Hellas Verona,it Serie A,21,2004,0.1,0,2,1,50,30,15,0,0,0,0,,
2357,Alisson Santos,br BRA,MFFW,Napoli,it Serie A,22,2002,9.3,4,29,16,55.2,3.13,1.73,0.14,0.25,0,0,,
2358,Andrey Santos,br BRA,MF,Chelsea,eng Premier League,21,2004,14,1,11,2,18.2,0.79,0.14,0.09,0.5,0,0,,
2359,Kauã Santos,br BRA,GK,Frankfurt,de Bundesliga,22,2003,12,0,0,0,,0,0,,,0,0,,
2360,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,23,2002,7.9,0,9,0,0,1.14,0,0,,0,0,,
2361,Bara Sapoko Ndiaye,sn SEN,MF,Bayern Munich,de Bundesliga,17,2007,1.6,0,0,0,,0,0,,,0,0,,
2362,Renzo Saravia,ar ARG,DF,Valencia,es La Liga,32,1993,3.9,0,1,0,0,0.26,0,0,,0,0,,
2363,Alejo Sarco,ar ARG,FW,Gladbach,de Bundesliga,19,2006,0.6,0,2,0,0,3.4,0,0,,0,0,,
2364,Alejo Sarco,ar ARG,FW,Leverkusen,de Bundesliga,19,2006,0.8,0,2,0,0,2.43,0,0,,0,0,,
2365,Jeremy Sarmiento,ec ECU,MF,Cremonese,it Serie A,23,2002,1.6,0,2,2,100,1.27,1.27,0,0,0,0,,
2366,Amin Sarr,se SWE,FWMF,Hellas Verona,it Serie A,24,2001,12.2,0,19,6,31.6,1.55,0.49,0,0,0,0,,
2367,Bouna Sarr,sn SEN,MFDF,Metz,fr Ligue 1,33,1992,9.9,0,15,3,20,1.51,0.3,0,0,0,0,,
2368,Ismaila Sarr,sn SEN,MF,Crystal Palace,eng Premier League,27,1998,24.2,9,48,21,43.8,1.99,0.87,0.13,0.29,3,3,,
2369,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,26,1999,32.5,0,23,5,21.7,0.71,0.15,0,0,0,0,,
2370,Mamadou Sarr,sn SEN,DF,Strasbourg,fr Ligue 1,19,2005,14.5,0,1,0,0,0.07,0,0,,0,0,,
2371,Mamadou Sarr,sn SEN,DF,Chelsea,eng Premier League,19,2005,1.1,0,1,0,0,0.88,0,0,,0,0,,
2372,Martin Satriano,uy URU,FWMF,Getafe,es La Liga,24,2001,17.8,6,35,14,40,1.97,0.79,0.17,0.43,0,0,,
2373,Martin Satriano,uy URU,FW,Lyon,fr Ligue 1,24,2001,7.7,2,16,7,43.8,2.08,0.91,0.13,0.29,0,0,,
2374,Mario Sauer,sk SVK,MF,Toulouse,fr Ligue 1,21,2004,7.2,1,14,3,21.4,1.94,0.41,0.07,0.33,0,0,,
2375,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23,2002,6.9,0,0,0,,0,0,,,0,0,,
2376,Sávio,br BRA,MF,Manchester City,eng Premier League,21,2004,9.3,1,20,11,55,2.16,1.19,0.05,0.09,0,0,,
2377,Nicolò Savona,it ITA,DF,Nottingham,eng Premier League,22,2003,11.4,2,5,3,60,0.44,0.26,0.4,0.67,0,0,,
2378,Amine Sbai,ma MAR,MFFW,Angers,fr Ligue 1,24,2000,20.2,3,34,16,47.1,1.68,0.79,0.09,0.19,0,1,,
2379,Joe Scally,us USA,DFMF,Gladbach,de Bundesliga,22,2002,29,2,16,10,62.5,0.55,0.35,0.13,0.2,0,0,,
2380,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,21,2003,20.1,3,20,6,30,1,0.3,0.15,0.5,0,0,,
2381,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,26,1999,14.6,10,57,22,38.6,3.9,1.51,0.14,0.36,2,2,,
2382,Oliver Scarles,eng ENG,DFMF,West Ham,eng Premier League,19,2005,7.3,0,3,0,0,0.41,0,0,,0,0,,
2383,Dane Scarlett,eng ENG,FW,Tottenham,eng Premier League,21,2004,0.1,0,0,0,,0,0,,,0,0,,
2384,Kevin Schade,de GER,MFFW,Brentford,eng Premier League,23,2001,30.5,8,57,24,42.1,1.87,0.79,0.14,0.33,0,1,,
2385,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,26,1999,15.8,2,27,10,37,1.71,0.63,0.07,0.2,0,0,,
2386,Fabian Schär,ch SUI,DF,Newcastle,eng Premier League,33,1991,12.1,0,17,4,23.5,1.4,0.33,0,0,0,0,,
2387,Fynn Schenten,de GER,FW,Köln,de Bundesliga,17,2007,1.1,0,1,0,0,0.9,0,0,,0,0,,
2388,Derry Scherhant,de GER,MF,Freiburg,de Bundesliga,22,2002,14.5,5,36,13,36.1,2.49,0.9,0.14,0.38,0,0,,
2389,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,29,1996,22.1,16,72,34,47.2,3.26,1.54,0.17,0.35,4,5,,
2390,Stefan Schimmer,de GER,FW,Heidenheim,de Bundesliga,31,1994,9.1,5,32,12,37.5,3.51,1.32,0.16,0.42,0,0,,
2391,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,27,1997,20.4,3,21,7,33.3,1.03,0.34,0.14,0.43,0,0,,
2392,Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,28,1997,22.6,0,12,3,25,0.53,0.13,0,0,0,1,,
2393,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,25,1999,28,5,32,9,28.1,1.14,0.32,0.16,0.56,0,0,,
2394,Mick Schmetgens,de GER,MF,Werder Bremen,de Bundesliga,17,2007,0.4,0,0,0,,0,0,,,0,0,,
2395,Romano Schmid,at AUT,MFFW,Werder Bremen,de Bundesliga,25,2000,33.1,4,57,21,36.8,1.72,0.63,0.02,0.05,3,4,,
2396,Isaac Schmidt,ch SUI,MFDF,Werder Bremen,de Bundesliga,25,1999,7.6,1,5,2,40,0.66,0.26,0.2,0.5,0,0,,
2397,Joël Schmied,ch SUI,DF,Köln,de Bundesliga,26,1998,12,0,5,0,0,0.42,0,0,,0,0,,
2398,Tim Schnitzer,de GER,MF,Augsburg,de Bundesliga,17,2008,0.1,0,0,0,,0,0,,,0,0,,
2399,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,26,1999,25,3,25,7,28,1,0.28,0.12,0.43,0,0,,
2400,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30,1995,34,0,0,0,,0,0,,,0,0,,
2401,Léo Scienza,br BRA,MF,Heidenheim,de Bundesliga,26,1998,2,1,4,1,25,2,0.5,0.25,1,0,0,,
2402,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,21,2003,31.7,3,44,13,29.5,1.39,0.41,0.07,0.23,0,0,,
2403,Simone Scuffet,it ITA,GK,Pisa,it Serie A,29,1996,7,0,0,0,,0,0,,,0,0,,
2404,Sebastian Sebulonsen,no NOR,DFMF,Köln,de Bundesliga,25,2000,27.8,0,31,5,16.1,1.12,0.18,0,0,0,0,,
2405,Jenson Seelt,nl NED,DF,Wolfsburg,de Bundesliga,22,2003,7.6,0,2,0,0,0.26,0,0,,0,0,,
2406,Jenson Seelt,nl NED,DF,Sunderland,eng Premier League,22,2003,1.5,0,0,0,,0,0,,,0,0,,
2407,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,25,2000,13.2,0,5,1,20,0.38,0.08,0,0,0,0,,
2408,Taufik Seidu,es ESP,MF,Atlético Madrid,es La Liga,17,2008,0.3,0,0,0,,0,0,,,0,0,,
2409,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,24,2001,29.9,0,20,7,35,0.67,0.23,0,0,0,0,,
2410,Ayumu Seko,jp JPN,MFDF,Le Havre,fr Ligue 1,25,2000,29.2,0,17,6,35.3,0.58,0.21,0,0,0,0,,
2411,Matz Sels,be BEL,GK,Nottingham,eng Premier League,33,1992,29.6,0,0,0,,0,0,,,0,0,,
2412,Antoine Semenyo,gh GHA,MF,Bournemouth,eng Premier League,25,2000,20,10,49,27,55.1,2.45,1.35,0.18,0.33,1,2,,
2413,Antoine Semenyo,gh GHA,MFFW,Manchester City,eng Premier League,25,2000,15.5,7,34,14,41.2,2.19,0.9,0.21,0.5,0,0,,
2414,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27,1998,25,0,0,0,,0,0,,,0,0,,
2415,Marvin Senaya,gh GHA,DFMF,Auxerre,fr Ligue 1,24,2001,19.8,1,15,5,33.3,0.76,0.25,0.07,0.2,0,0,,
2416,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,28,1997,36.5,0,17,5,29.4,0.47,0.14,0,0,0,0,,
2417,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,28,1997,12.3,2,19,7,36.8,1.54,0.57,0.11,0.29,0,0,,
2418,Manuel Serrano,es ESP,DF,Real Madrid,es La Liga,21,2004,0.1,0,0,0,,0,0,,,0,0,,
2419,Nicolás Serrano,es ESP,MF,Athletic Club,es La Liga,22,2003,4.1,1,16,4,25,3.93,0.98,0.06,0.25,0,0,,
2420,Benjamin Šeško,si SVN,FW,Manchester Utd,eng Premier League,22,2003,18.3,11,61,34,55.7,3.34,1.86,0.18,0.32,0,0,,
2421,Ryan Sessegnon,eng ENG,DFMF,Fulham,eng Premier League,25,2000,20.3,3,16,4,25,0.79,0.2,0.19,0.75,0,0,,
2422,Stephan El Shaarawy,it ITA,MFFW,Roma,it Serie A,32,1992,7.4,1,18,7,38.9,2.43,0.95,0.06,0.14,0,0,,
2423,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,30,1995,35.8,1,10,3,30,0.28,0.08,0.1,0.33,0,0,,
2424,Kento Shiogai,jp JPN,MF,Wolfsburg,de Bundesliga,20,2005,3.5,1,9,6,66.7,2.55,1.7,0.11,0.17,0,0,,
2425,Kwasi Sibo,gh GHA,MF,Oviedo,es La Liga,27,1998,18.7,0,9,2,22.2,0.48,0.11,0,0,0,0,,
2426,Djibril Sidibé,fr FRA,MFDF,Toulouse,fr Ligue 1,33,1992,23.8,3,8,5,62.5,0.34,0.21,0.25,0.4,1,2,,
2427,Armindo Sieb,de GER,FW,Mainz 05,de Bundesliga,22,2003,6.1,2,18,6,33.3,2.96,0.99,0.11,0.33,0,0,,
2428,Jamil Siebert,de GER,DF,Lecce,it Serie A,23,2002,18.9,1,6,2,33.3,0.32,0.11,0.17,0.5,0,0,,
2429,Francisco Sierralta,cl CHI,DF,Auxerre,fr Ligue 1,28,1997,9.6,1,7,2,28.6,0.73,0.21,0.14,0.5,0,0,,
2430,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,25,2000,12,0,5,3,60,0.42,0.25,0,0,0,0,,
2431,Mathys Silestrie,fr FRA,GK,Rennes,fr Ligue 1,19,2005,2,0,0,0,,0,0,,,0,0,,
2432,André Silva,pt POR,FW,Elche,es La Liga,29,1995,20.5,10,57,29,50.9,2.77,1.41,0.12,0.24,3,3,,
2433,Bernardo Silva,pt POR,MF,Manchester City,eng Premier League,30,1994,31.9,2,30,7,23.3,0.94,0.22,0.07,0.29,0,0,,
2434,Éderson Silva,br BRA,MF,Atalanta,it Serie A,26,1999,24.8,2,35,11,31.4,1.41,0.44,0.03,0.09,1,1,,
2435,Fábio Silva,pt POR,FWMF,Dortmund,de Bundesliga,23,2002,9.1,2,23,8,34.8,2.53,0.88,0.09,0.25,0,0,,
2436,Jota Silva,pt POR,FW,Nottingham,eng Premier League,25,1999,0.1,0,0,0,,0,0,,,0,0,,
2437,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34,1991,4,0,0,0,,0,0,,,0,0,,
2438,Abdallah Sima,sn SEN,MFFW,Lens,fr Ligue 1,24,2001,8,2,30,9,30,3.76,1.13,0.07,0.22,0,0,,
2439,Giovanni Simeone,ar ARG,FW,Torino,it Serie A,30,1995,24.8,11,78,28,35.9,3.15,1.13,0.14,0.39,0,0,,
2440,Giuliano Simeone,ar ARG,MFFW,Atlético Madrid,es La Liga,22,2002,23.3,4,36,14,38.9,1.54,0.6,0.11,0.29,0,0,,
2441,Moses Simon,ng NGA,MFFW,Paris FC,fr Ligue 1,30,1995,22.2,3,34,11,32.4,1.53,0.49,0.09,0.27,0,0,,
2442,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28,1997,37,0,0,0,,0,0,,,0,0,,
2443,Xavi Simons,nl NED,MFFW,Tottenham,eng Premier League,22,2003,19.5,2,42,10,23.8,2.15,0.51,0.05,0.2,0,0,,
2444,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,22,2003,1,0,0,0,,0,0,,,0,0,,
2445,Jahmai Simpson-Pusey,eng ENG,DF,Köln,de Bundesliga,19,2005,9.6,0,6,3,50,0.63,0.31,0,0,0,0,,
2446,Danel Sinani,lu LUX,MFFW,St Pauli,de Bundesliga,28,1997,23,5,49,18,36.7,2.13,0.78,0.04,0.11,3,3,,
2447,Dan Sinaté,fr FRA,DF,Angers,fr Ligue 1,19,2006,0.4,0,1,0,0,2.73,0,0,,0,0,,
2448,Lassine Sinayoko,ml MLI,FWMF,Auxerre,fr Ligue 1,25,1999,30.8,12,93,39,41.9,3.02,1.27,0.1,0.23,3,4,,
2449,Ibrahima Sissoko,ml MLI,MFDF,Nantes,fr Ligue 1,27,1997,8.9,0,6,0,0,0.67,0,0,,0,0,,
2450,Antonio Sivera,es ESP,GK,Alavés,es La Liga,28,1996,38,0,0,0,,0,0,,,0,0,,
2451,Telli Siwe,fr FRA,DF,Auxerre,fr Ligue 1,20,2004,3.5,0,2,1,50,0.57,0.29,0,0,0,0,,
2452,Tim Skarke,de GER,MFFW,Union Berlin,de Bundesliga,28,1996,6.9,1,14,5,35.7,2.02,0.72,0.07,0.2,0,0,,
2453,Ellyes Skhiri,tn TUN,MFDF,Frankfurt,de Bundesliga,30,1995,16,0,8,0,0,0.5,0,0,,0,0,,
2454,Laurs Skjellerup,dk DEN,FW,Sassuolo,it Serie A,22,2002,0.1,0,1,0,0,9,0,0,,0,0,,
2455,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34,1991,17.7,0,0,0,,0,0,,,0,0,,
2456,Andreas Skov Olsen,dk DEN,MF,Wolfsburg,de Bundesliga,25,1999,4,1,7,2,28.6,1.74,0.5,0.14,0.5,0,0,,
2457,Robert Skov,dk DEN,DFMF,Union Berlin,de Bundesliga,29,1996,2.4,0,1,0,0,0.41,0,0,,0,0,,
2458,Tobias Slotsager,dk DEN,DF,Hellas Verona,it Serie A,19,2006,5,0,3,1,33.3,0.61,0.2,0,0,0,0,,
2459,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,34,1991,12,0,0,0,,0,0,,,0,0,,
2460,Eric Smith,se SWE,DFMF,St Pauli,de Bundesliga,28,1997,25.7,2,12,5,41.7,0.47,0.19,0.17,0.4,0,0,,
2461,Emile Smith Rowe,eng ENG,MF,Fulham,eng Premier League,25,2000,21.4,3,36,11,30.6,1.68,0.51,0.08,0.27,0,0,,
2462,Ivan Smolčić,hr CRO,DF,Como,it Serie A,24,2000,18.5,0,12,4,33.3,0.65,0.22,0,0,0,0,,
2463,Mezian Soares,pt POR,MF,Lens,fr Ligue 1,15,2009,0.1,1,1,1,100,7.5,7.5,1,1,0,0,,
2464,Simon Sohm,ch SUI,MF,Bologna,it Serie A,24,2001,8,0,4,1,25,0.5,0.13,0,0,0,0,,
2465,Simon Sohm,ch SUI,MF,Fiorentina,it Serie A,24,2001,7.9,0,5,0,0,0.64,0,0,,0,0,,
2466,Alex Sola,es ESP,DFFW,Getafe,es La Liga,26,1999,0.1,0,0,0,,0,0,,,0,0,,
2467,Dominic Solanke,eng ENG,FW,Tottenham,eng Premier League,27,1997,11.1,3,20,11,55,1.8,0.99,0.15,0.27,0,0,,
2468,Carlos Soler,es ESP,MF,Real Sociedad,es La Liga,28,1997,25.7,4,35,19,54.3,1.36,0.74,0.11,0.21,0,0,,
2469,Julio Soler,ar ARG,DF,Bournemouth,eng Premier League,20,2005,0.4,0,0,0,,0,0,,,0,0,,
2470,Oumar Solet,fr FRA,DF,Udinese,it Serie A,25,2000,32.9,3,33,6,18.2,1,0.18,0.06,0.33,1,1,,
2471,Jhon Solis,co COL,MF,Girona,es La Liga,20,2004,4.2,0,3,2,66.7,0.71,0.47,0,0,0,0,,
2472,Manor Solomon,il ISR,MF,Villarreal,es La Liga,26,1999,1.7,1,2,1,50,1.2,0.6,0.5,1,0,0,,
2473,Manor Solomon,il ISR,FWMF,Fiorentina,it Serie A,26,1999,9.9,2,11,4,36.4,1.11,0.4,0.18,0.5,0,0,,
2474,Hugo Solozabal,es ESP,MF,Getafe,es La Liga,22,2003,0.1,0,0,0,,0,0,,,0,0,,
2475,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,28,1997,2,0,0,0,,0,0,,,0,0,,
